frame_idx,start_ms,end_ms,f1,p1,f2,p2,f3,p3,f4,p4,f5,p5
198,2112.0,2154.67,46.9,100.0,70.3,62.54,23.4,57.96,93.8,29.2,140.6,15.45
199,2122.67,2165.33,46.9,100.0,70.3,67.9,117.2,54.9,23.4,50.58,140.6,38.36
200,2133.33,2176.0,70.3,100.0,46.9,99.93,93.8,70.27,140.6,57.83,117.2,57.67
201,2144.0,2186.67,46.9,100.0,187.5,66.79,23.4,55.31,70.3,50.03,93.8,49.59
202,2154.67,2197.33,70.3,100.0,93.8,94.66,187.5,81.28,46.9,63.93,117.2,58.72
203,2165.33,2208.0,93.8,100.0,187.5,88.66,70.3,76.94,164.1,59.41,210.9,43.67
204,2176.0,2218.67,93.8,100.0,187.5,99.0,164.1,64.55,117.2,58.45,70.3,58.4
205,2186.67,2229.33,187.5,100.0,210.9,55.18,46.9,52.69,164.1,48.67,93.8,46.47
206,2197.33,2240.0,187.5,100.0,164.1,80.42,210.9,61.57,46.9,58.87,140.6,41.25
207,2208.0,2250.67,70.3,100.0,46.9,86.49,187.5,78.3,93.8,53.56,140.6,42.86
208,2218.67,2261.33,46.9,100.0,70.3,56.43,23.4,49.66,187.5,44.53,257.8,32.81
209,2229.33,2272.0,46.9,100.0,23.4,64.7,70.3,55.64,187.5,39.45,117.2,39.11
210,2240.0,2282.67,46.9,100.0,23.4,74.59,187.5,60.02,164.1,57.9,93.8,40.83
211,2250.67,2293.33,187.5,100.0,46.9,89.87,23.4,78.64,164.1,78.62,70.3,57.55
212,2261.33,2304.0,187.5,100.0,23.4,86.64,164.1,72.78,93.8,65.58,46.9,60.64
213,2272.0,2314.67,93.8,100.0,23.4,84.6,46.9,78.75,117.2,75.04,187.5,71.8
214,2282.67,2325.33,46.9,100.0,70.3,78.33,23.4,71.35,93.8,69.7,187.5,61.0
215,2293.33,2336.0,46.9,100.0,187.5,62.57,164.1,60.65,23.4,51.83,70.3,51.1
216,2304.0,2346.67,46.9,100.0,70.3,87.2,117.2,76.82,187.5,74.05,93.8,70.88
217,2314.67,2357.33,117.2,100.0,187.5,98.46,93.8,97.31,70.3,86.42,164.1,76.5
218,2325.33,2368.0,140.6,100.0,187.5,77.75,117.2,53.83,93.8,44.89,210.9,34.69
219,2336.0,2378.67,117.2,100.0,140.6,83.14,93.8,80.74,164.1,70.43,187.5,54.77
220,2346.67,2389.33,93.8,100.0,46.9,91.76,23.4,77.89,117.2,76.72,164.1,58.3
221,2357.33,2400.0,46.9,100.0,70.3,73.48,93.8,63.03,23.4,59.11,187.5,31.71
222,2368.0,2410.67,46.9,100.0,70.3,66.53,93.8,45.25,23.4,43.75,117.2,36.74
223,2378.67,2421.33,46.9,100.0,70.3,78.3,93.8,54.13,117.2,37.81,23.4,34.69
224,2389.33,2432.0,70.3,100.0,46.9,71.88,93.8,61.63,187.5,29.28,164.1,24.3
225,2400.0,2442.67,187.5,100.0,46.9,98.05,93.8,94.68,70.3,84.66,164.1,63.78
226,2410.67,2453.33,187.5,100.0,164.1,99.77,117.2,91.02,93.8,81.68,23.4,59.22
227,2421.33,2464.0,46.9,100.0,23.4,94.97,70.3,81.02,117.2,76.6,140.6,75.46
228,2432.0,2474.67,46.9,100.0,23.4,73.94,70.3,33.24,187.5,20.07,117.2,18.96
229,2442.67,2485.33,46.9,100.0,70.3,61.5,23.4,58.48,93.8,25.87,117.2,17.23
230,2453.33,2496.0,46.9,100.0,70.3,58.26,23.4,49.91,117.2,21.26,93.8,16.34
231,2464.0,2506.67,46.9,100.0,70.3,87.1,23.4,46.1,93.8,23.76,140.6,23.42
232,2474.67,2517.33,70.3,100.0,46.9,77.96,93.8,44.52,234.4,37.34,117.2,36.66
233,2485.33,2528.0,46.9,100.0,70.3,72.14,23.4,46.49,93.8,29.73,187.5,29.25
234,2496.0,2538.67,46.9,100.0,70.3,88.45,23.4,46.11,93.8,38.96,187.5,19.97
235,2506.67,2549.33,46.9,100.0,23.4,61.23,93.8,60.33,70.3,55.13,281.2,23.25
236,2517.33,2560.0,46.9,100.0,70.3,66.61,93.8,62.32,23.4,53.54,187.5,42.74
237,2528.0,2570.67,46.9,100.0,70.3,96.55,187.5,63.06,164.1,49.41,257.8,44.82
238,2538.67,2581.33,46.9,100.0,70.3,63.06,187.5,62.75,257.8,41.87,281.2,41.74
239,2549.33,2592.0,46.9,100.0,187.5,79.08,70.3,74.22,23.4,59.01,140.6,40.95
240,2560.0,2602.67,187.5,100.0,70.3,95.8,164.1,79.46,23.4,63.99,93.8,56.65
241,2570.67,2613.33,70.3,100.0,46.9,94.41,23.4,65.69,187.5,63.43,93.8,53.85
242,2581.33,2624.0,46.9,100.0,23.4,68.48,70.3,44.56,187.5,37.8,93.8,29.81
243,2592.0,2634.67,46.9,100.0,23.4,72.02,70.3,34.67,187.5,29.37,93.8,20.95
244,2602.67,2645.33,46.9,100.0,23.4,59.24,70.3,58.88,187.5,28.24,328.1,21.13
245,2613.33,2656.0,46.9,100.0,70.3,79.91,164.1,47.51,23.4,47.11,187.5,46.51
246,2624.0,2666.67,70.3,100.0,46.9,61.94,187.5,56.26,93.8,52.71,117.2,37.84
247,2634.67,2677.33,70.3,100.0,93.8,83.24,187.5,72.68,117.2,59.38,46.9,51.43
248,2645.33,2688.0,187.5,100.0,164.1,94.56,70.3,80.64,117.2,62.3,140.6,56.98
249,2656.0,2698.67,187.5,100.0,70.3,95.52,93.8,93.59,210.9,67.36,164.1,54.59
250,2666.67,2709.33,70.3,100.0,93.8,79.95,187.5,60.59,46.9,53.12,23.4,47.49
251,2677.33,2720.0,93.8,100.0,46.9,94.49,23.4,82.72,70.3,66.6,164.1,61.25
252,2688.0,2730.67,46.9,100.0,23.4,82.22,70.3,66.76,187.5,51.21,93.8,44.75
253,2698.67,2741.33,46.9,100.0,23.4,63.57,70.3,32.69,187.5,25.17,140.6,20.1
254,2709.33,2752.0,46.9,100.0,23.4,66.02,70.3,55.53,93.8,20.46,187.5,18.77
255,2720.0,2762.67,46.9,100.0,23.4,91.7,70.3,87.34,93.8,40.76,187.5,32.38
256,2730.67,2773.33,23.4,100.0,70.3,70.43,93.8,47.67,46.9,42.59,210.9,30.29
257,2741.33,2784.0,23.4,100.0,46.9,92.48,70.3,51.99,187.5,33.56,164.1,27.45
258,2752.0,2794.67,23.4,100.0,46.9,65.57,93.8,46.0,164.1,44.95,187.5,44.14
259,2762.67,2805.33,46.9,100.0,23.4,96.65,93.8,54.01,164.1,36.35,117.2,35.62
260,2773.33,2816.0,46.9,100.0,93.8,94.65,70.3,86.53,23.4,77.93,117.2,50.78
261,2784.0,2826.67,93.8,100.0,117.2,91.45,23.4,53.19,70.3,45.29,140.6,42.98
262,2794.67,2837.33,93.8,100.0,117.2,88.81,23.4,55.29,46.9,49.38,164.1,37.0
263,2805.33,2848.0,93.8,100.0,70.3,89.08,46.9,75.19,117.2,69.36,23.4,66.45
264,2816.0,2858.67,70.3,100.0,23.4,76.15,117.2,74.97,164.1,63.05,46.9,51.64
265,2826.67,2869.33,46.9,100.0,70.3,81.15,23.4,79.84,93.8,39.44,164.1,35.22
266,2837.33,2880.0,23.4,100.0,70.3,65.02,93.8,63.45,46.9,60.49,117.2,27.59
267,2848.0,2890.67,46.9,100.0,70.3,92.04,23.4,78.06,93.8,66.12,117.2,26.77
