frame_idx,start_ms,end_ms,f1,p1,f2,p2,f3,p3,f4,p4,f5,p5
207,2208.0,2250.67,70.3,33.37,46.9,28.86,187.5,26.13,93.8,17.87,140.6,14.3
208,2218.67,2261.33,46.9,43.77,70.3,24.7,23.4,21.74,187.5,19.49,257.8,14.36
209,2229.33,2272.0,46.9,49.2,23.4,31.83,70.3,27.37,187.5,19.41,117.2,19.24
210,2240.0,2282.67,46.9,42.24,23.4,31.5,187.5,25.35,164.1,24.45,93.8,17.25
211,2250.67,2293.33,187.5,30.65,46.9,27.54,23.4,24.1,164.1,24.09,70.3,17.64
212,2261.33,2304.0,187.5,21.97,23.4,19.04,164.1,15.99,93.8,14.41,46.9,13.32
213,2272.0,2314.67,93.8,22.56,23.4,19.09,46.9,17.77,117.2,16.93,187.5,16.2
214,2282.67,2325.33,46.9,33.27,70.3,26.06,23.4,23.74,93.8,23.19,187.5,20.29
215,2293.33,2336.0,46.9,51.52,187.5,32.23,164.1,31.25,23.4,26.7,70.3,26.32
216,2304.0,2346.67,46.9,46.8,70.3,40.81,117.2,35.95,187.5,34.65,93.8,33.17
217,2314.67,2357.33,117.2,31.51,187.5,31.03,93.8,30.66,70.3,27.23,164.1,24.11
218,2325.33,2368.0,140.6,30.7,187.5,23.87,117.2,16.52,93.8,13.78,210.9,10.65
219,2336.0,2378.67,117.2,31.8,140.6,26.44,93.8,25.68,164.1,22.4,187.5,17.42
220,2346.67,2389.33,93.8,23.59,46.9,21.64,23.4,18.37,117.2,18.1,164.1,13.75
221,2357.33,2400.0,46.9,43.7,70.3,32.11,93.8,27.54,23.4,25.83,187.5,13.86
222,2368.0,2410.67,46.9,54.72,70.3,36.41,93.8,24.76,23.4,23.94,117.2,20.1
223,2378.67,2421.33,46.9,50.96,70.3,39.9,93.8,27.58,117.2,19.27,23.4,17.68
224,2389.33,2432.0,70.3,50.74,46.9,36.47,93.8,31.27,187.5,14.86,164.1,12.33
225,2400.0,2442.67,187.5,22.87,46.9,22.42,93.8,21.65,70.3,19.36,164.1,14.58
226,2410.67,2453.33,187.5,22.92,164.1,22.87,117.2,20.86,93.8,18.72,23.4,13.57
227,2421.33,2464.0,46.9,27.67,23.4,26.27,70.3,22.41,117.2,21.19,140.6,20.88
228,2432.0,2474.67,46.9,56.45,23.4,41.74,70.3,18.76,187.5,11.33,117.2,10.7
229,2442.67,2485.33,46.9,74.78,70.3,45.99,23.4,43.73,93.8,19.35,117.2,12.89
230,2453.33,2496.0,46.9,66.69,70.3,38.86,23.4,33.29,117.2,14.18,93.8,10.9
231,2464.0,2506.67,46.9,40.7,70.3,35.45,23.4,18.76,93.8,9.67,140.6,9.53
232,2474.67,2517.33,70.3,28.49,46.9,22.21,93.8,12.69,234.4,10.64,117.2,10.45
233,2485.33,2528.0,46.9,40.29,70.3,29.07,23.4,18.73,93.8,11.98,187.5,11.78
234,2496.0,2538.67,46.9,54.51,70.3,48.21,23.4,25.14,93.8,21.24,187.5,10.88
235,2506.67,2549.33,46.9,42.42,23.4,25.97,93.8,25.59,70.3,23.38,281.2,9.86
236,2517.33,2560.0,46.9,32.88,70.3,21.9,93.8,20.49,23.4,17.6,187.5,14.05
237,2528.0,2570.67,46.9,32.25,70.3,31.14,187.5,20.34,164.1,15.94,257.8,14.46
238,2538.67,2581.33,46.9,36.14,70.3,22.79,187.5,22.68,257.8,15.13,281.2,15.08
239,2549.33,2592.0,46.9,34.19,187.5,27.04,70.3,25.37,23.4,20.17,140.6,14.0
240,2560.0,2602.67,187.5,33.57,70.3,32.16,164.1,26.68,23.4,21.48,93.8,19.02
241,2570.67,2613.33,70.3,49.54,46.9,46.77,23.4,32.54,187.5,31.42,93.8,26.68
242,2581.33,2624.0,46.9,66.08,23.4,45.26,70.3,29.45,187.5,24.98,93.8,19.7
243,2592.0,2634.67,46.9,68.43,23.4,49.28,70.3,23.72,187.5,20.09,93.8,14.33
244,2602.67,2645.33,46.9,69.93,23.4,41.42,70.3,41.18,187.5,19.75,328.1,14.78
245,2613.33,2656.0,46.9,46.39,70.3,37.07,164.1,22.04,23.4,21.85,187.5,21.58
246,2624.0,2666.67,70.3,33.7,46.9,20.87,187.5,18.96,93.8,17.76,117.2,12.75
247,2634.67,2677.33,70.3,21.29,93.8,17.72,187.5,15.47,117.2,12.64,46.9,10.95
248,2645.33,2688.0,187.5,23.67,164.1,22.38,70.3,19.09,117.2,14.75,140.6,13.49
249,2656.0,2698.67,187.5,28.94,70.3,27.64,93.8,27.08,210.9,19.49,164.1,15.8
250,2666.67,2709.33,70.3,35.83,93.8,28.65,187.5,21.71,46.9,19.03,23.4,17.02
251,2677.33,2720.0,93.8,29.08,46.9,27.47,23.4,24.05,70.3,19.37,164.1,17.81
252,2688.0,2730.67,46.9,33.99,23.4,27.95,70.3,22.69,187.5,17.41,93.8,15.21
253,2698.67,2741.33,46.9,53.41,23.4,33.95,70.3,17.46,187.5,13.44,140.6,10.74
254,2709.33,2752.0,46.9,66.98,23.4,44.23,70.3,37.2,93.8,13.71,187.5,12.57
255,2720.0,2762.67,46.9,48.62,23.4,44.59,70.3,42.47,93.8,19.82,187.5,15.74
256,2730.67,2773.33,23.4,39.07,70.3,27.52,93.8,18.63,46.9,16.64,210.9,11.83
257,2741.33,2784.0,23.4,40.87,46.9,37.8,70.3,21.25,187.5,13.72,164.1,11.22
258,2752.0,2794.67,23.4,41.61,46.9,27.28,93.8,19.14,164.1,18.7,187.5,18.36
259,2762.67,2805.33,46.9,40.55,23.4,39.19,93.8,21.9,164.1,14.74,117.2,14.45
260,2773.33,2816.0,46.9,44.04,93.8,41.69,70.3,38.11,23.4,34.32,117.2,22.37
261,2784.0,2826.67,93.8,49.8,117.2,45.54,23.4,26.49,70.3,22.55,140.6,21.4
262,2794.67,2837.33,93.8,38.62,117.2,34.3,23.4,21.35,46.9,19.07,164.1,14.29
263,2805.33,2848.0,93.8,30.88,70.3,27.51,46.9,23.22,117.2,21.42,23.4,20.52
264,2816.0,2858.67,70.3,24.27,23.4,18.48,117.2,18.19,164.1,15.3,46.9,12.53
265,2826.67,2869.33,46.9,37.74,70.3,30.63,23.4,30.13,93.8,14.89,164.1,13.29
266,2837.33,2880.0,23.4,41.9,70.3,27.24,93.8,26.59,46.9,25.35,117.2,11.56
267,2848.0,2890.67,46.9,54.55,70.3,50.21,23.4,42.58,93.8,36.07,117.2,14.6
